movement,flight_id,airline,origin,transit_point,destination,take_off_time,landing_time,transit_duration_mins,total_duration_mins,aircraft_model,carbon_kg,eco_price_sar,price_status,flight_date,day
DEPARTURE,EY 604,Etihad,JED,Direct,AUH,5:40,9:20,0,160,Airbus A321,166000.0,461.0,typical,8/22/2026,Saturday
DEPARTURE,SV 570,Saudia,JED,Direct,AUH,11:40,15:25,0,165,Airbus A320,176000.0,461.0,typical,8/22/2026,Saturday
DEPARTURE,SV 1020,Saudia,JED,RUH,AUH,7:00,14:05,150,365,Airbus A321,223000.0,471.0,typical,8/22/2026,Saturday
DEPARTURE,EY 602,Etihad,JED,Direct,AUH,3:10,6:55,0,165,Airbus A321,166000.0,552.0,typical,8/22/2026,Saturday
DEPARTURE,QR 1189,Qatar Airways,JED,DOH,AUH,22:35,4:25,80,290,Boeing 787,152000.0,697.0,typical,8/22/2026,Saturday
DEPARTURE,EY 616,Etihad,JED,Direct,AUH,15:20,19:05,0,165,Airbus A321,166000.0,781.0,typical,8/22/2026,Saturday
DEPARTURE,XY 517,Flynas,JED,Direct,AUH,12:55,16:45,0,170,Airbus A320neo,130000.0,790.0,typical,8/22/2026,Saturday
DEPARTURE,EY 612,Etihad,JED,Direct,AUH,19:00,22:45,0,165,Airbus A321,166000.0,800.0,typical,8/22/2026,Saturday
ARRIVAL,GF 90,Gulf Air,JFK,BAH,JED,15:00,15:40,170,1060,Boeing 787,666000.0,1902.0,typical,8/9/2026,Sunday
ARRIVAL,EY 2,Etihad,JFK,AUH,JED,15:45,16:10,110,1045,Airbus A350,815000.0,1972.0,typical,8/9/2026,Sunday
ARRIVAL,QR 702,Qatar Airways,JFK,DOH,JED,22:00,21:05,75,965,Boeing 777,837000.0,2014.0,typical,8/9/2026,Sunday
ARRIVAL,TK 2,Turkish Airlines,JFK,IST,JED,19:50,18:20,90,930,Boeing 777,749000.0,2457.0,typical,8/9/2026,Sunday
ARRIVAL,SV 20,Saudia,JFK,Direct,JED,19:00,13:40,0,700,Boeing 777,696000.0,2707.0,typical,8/9/2026,Sunday
ARRIVAL,GF 90,Gulf Air,JFK,BAH,JED,15:00,3:55,895,1795,Boeing 787,711000.0,1864.0,typical,8/9/2026,Sunday
ARRIVAL,QR 704,Qatar Airways,JFK,DOH,JED,11:20,10:10,60,950,Boeing 777,853000.0,2014.0,typical,8/9/2026,Sunday
ARRIVAL,EY 4,Etihad,JFK,AUH,JED,22:20,23:25,125,1085,Boeing 787,894000.0,2066.0,typical,8/9/2026,Sunday
ARRIVAL,MS 986,EgyptAir,JFK,CAI,JED,12:55,10:10,95,855,Boeing 777,789000.0,4291.0,typical,8/9/2026,Sunday
ARRIVAL,XY 518,Flynas,AUH,Direct,JED,17:35,19:35,0,180,Airbus A320neo,129000.0,419.0,typical,8/4/2026,Tuesday
ARRIVAL,SV 571,Saudia,AUH,Direct,JED,16:25,18:15,0,170,Airbus A320,174000.0,647.0,typical,8/4/2026,Tuesday
ARRIVAL,EY 603,Etihad,AUH,Direct,JED,2:05,3:55,0,170,Airbus A321,163000.0,659.0,typical,8/4/2026,Tuesday
ARRIVAL,QR 1051,Qatar Airways,AUH,DOH,JED,17:40,21:05,45,265,Airbus A320,147000.0,578.0,typical,8/4/2026,Tuesday
